Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2015-07-02,0,0,0,0,0,0,0
2015-07-03,0,0,96,0,0,0,0
2015-07-04,2780,628,3991,54,1191,76,0
2015-07-05,3374,5259,16595,83,5333,0,864
2015-07-06,0,0,0,0,0,0,0
2015-07-07,3664,391,11301,20,4195,0,0
2015-07-08,3470,561,9283,79,2671,182,1
2015-07-09,0,0,0,0,0,0,0
2015-07-10,3219,564,14637,6,6778,3,388
2015-07-11,0,0,0,0,10,0,0
2015-07-12,2408,3047,12547,12,2486,59,0
2015-07-13,3869,2777,14202,59,3580,306,0
2015-07-14,3502,585,10356,62,2216,206,25
2015-07-15,2474,936,13284,132,5586,148,144
2015-07-16,2907,1633,11676,57,4666,87,576
2015-07-17,1960,567,11440,33,3999,209,0
2015-07-18,0,0,0,0,0,0,0
2015-07-19,0,0,0,0,7,0,0
2015-07-20,3351,779,10475,7,6510,52,0
2015-07-21,3195,382,8802,65,5248,442,0
2015-07-22,4424,478,10176,16,4572,25,192
2015-07-23,3787,844,7679,337,5336,309,960
2015-07-24,2784,733,11105,7,4206,18,0
2015-07-25,0,0,0,6,0,0,0
2015-07-26,0,0,144,0,20,0,0
2015-07-27,3375,1197,11796,6,4896,3,0
2015-07-28,5133,3071,11968,20,3881,135,0
2015-07-29,29,1025,16110,14,6186,57,196
2015-07-30,0,8971,11497,51,4913,879,0
2015-07-31,0,1616,11043,287,4611,8,24
2015-08-01,27,613,11599,260,3736,0,0
2015-08-02,0,7,40,0,0,0,0
2015-08-03,0,0,144,0,0,0,0
2015-08-04,3223,491,15103,0,5538,122,288
2015-08-05,2274,365,12495,57,5428,53,144
2015-08-06,2325,1657,7750,3,3774,54,0
2015-08-07,4154,609,14728,2,8733,0,0
2015-08-08,0,0,0,0,0,0,0
2015-08-09,2791,584,10740,81,2739,159,0
2015-08-10,2812,1684,6791,31,2975,6,0
2015-08-11,0,0,90,0,0,0,0
2015-08-12,3079,207,6527,69,1867,146,0
2015-08-13,4407,1775,14507,116,5047,2,0
2015-08-14,2683,762,13918,78,4365,123,192
2015-08-15,0,0,0,18,0,0,0
2015-08-16,0,5,190,0,0,0,0
2015-08-17,3328,651,6416,3,2862,125,0
