B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
3897,1269,13085,2,5692,0,0
0,0,0,0,0,0,0
0,0,0,8,0,0,0
5212,753,7212,12,2472,0,24
4918,914,17669,15,5082,4779,0
0,0,0,0,0,4,0
4425,440,5261,3,1907,0,84
3324,1270,10007,115,3523,0,0
3212,453,13170,89,12650,12,0
4671,1804,18939,169,11049,23,361
1894,1389,9123,36,3141,116,0
0,0,0,10,0,0,0
0,0,0,0,0,0,0
3948,1161,23795,43,11974,152,0
3655,368,9867,16,3342,136,0
3359,961,16302,47,9723,104,0
3890,1619,18333,8,8937,6,1389
4047,807,8873,26,4359,120,16
0,0,96,0,48,0,0
0,0,210,0,100,0,0
2254,3237,12849,23,29693,295,34
4111,1938,9720,285,2706,12,22
3534,970,9481,27,9690,95,625
2703,2085,22787,125,17383,111,0
2333,722,11674,33,8248,28,145
0,0,0,0,0,0,0
0,20,48,0,0,0,0
3602,1026,13357,15,14296,458,98
3790,276,6455,13,4685,0,624
0,20,20,0,0,122,0
0,0,0,0,0,0,0
3158,998,12716,137,8963,320,256
3834,424,12713,83,4147,2019,0
3720,1352,8772,3,6999,235,1
3582,854,12721,0,5415,165,8
0,0,0,0,0,0,0
2771,820,12232,78,3964,9,0
3434,536,9411,59,7956,229,192
0,0,0,0,0,0,0
4347,1531,15807,54,4559,208,0
2998,927,6611,19,2402,95,1043
3395,608,16905,47,9299,389,0
3595,345,16767,81,16558,30,0
2851,1183,10350,98,5306,14,8
0,0,192,0,192,0,0
0,0,0,0,0,0,0
4683,931,15228,15,4880,140,0
3570,1087,6098,83,3393,2,0
2819,1483,23226,4,8887,689,0
2946,9256,13704,39,10639,22,0
3612,372,12240,178,4162,200,0
0,0,96,6,0,0,0
0,0,0,0,0,0,0
3385,1990,11838,48,8775,157,0
3926,468,13922,28,5755,313,0
2242,692,24933,134,22660,16,0
2501,917,13886,12,8966,138,1306
3717,387,10028,9,2966,0,0
2766,661,8271,3,5125,0,0
3799,1549,12984,0,9962,0,1
3242,1592,11157,186,3608,678,300
0,0,96,0,0,0,0
3326,1435,9857,0,5221,370,0
2471,826,17069,12,7720,322,1
0,0,0,0,0,0,0
2435,772,14128,11,18599,8,0
3318,602,11788,120,25508,129,2
0,0,0,0,0,0,0
2504,499,18530,2,18628,0,1
5213,640,10588,0,6619,160,3
3737,994,12895,227,1254,0,0
0,0,144,0,192,35,0
3169,777,14633,6,7795,14,61
3932,381,6494,3,2402,56,152
2570,641,9898,18,8726,11,432
2754,519,5712,68,2977,108,0
0,12,0,6,0,0,0
