B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
0,0,0,10,0,0,0
0,0,36,0,0,0,0
4218,1106,20417,30,8077,117,0
7504,4715,10688,17,2850,762,2
3845,705,13442,123,4074,229,288
0,0,0,0,0,0,0
0,0,0,0,13,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
43,1059,18306,30,4798,123,1200
39,574,7247,30,2899,229,0
0,574,11923,87,5581,213,192
0,0,48,6,0,342,0
0,0,0,0,2880,0,0
4588,747,10006,18,2586,31,10
2736,18510,15465,199,20491,223,0
455,3280,9528,51,5200,72,0
0,0,0,0,0,0,0
5632,535,12505,18,4484,696,0
3451,614,7769,57,3203,0,0
3045,1357,8240,112,4919,89,96
3287,3149,8741,109,3927,3,0
0,0,0,6,0,0,0
3509,672,8950,6,5418,574,25
3909,1726,16197,163,3814,12,0
3837,765,13028,18,3192,260,240
4476,1833,13906,39,5770,9,0
3800,994,8958,43,2622,180,60
0,0,0,0,36,0,0
0,10,0,0,21,0,0
3610,676,11444,13,5665,49,0
4514,419,7988,108,3419,13,0
1468,505,15372,43,3596,4,0
3805,945,11735,112,7801,804,1008
4261,5483,11115,19,3733,279,168
0,0,0,6,0,0,0
0,0,196,0,48,0,0
2801,3465,9371,165,453,113,0
2475,566,10848,56,5208,50,0
4925,596,44432,10,10060,49,144
291,1486,8132,70,4317,235,0
4909,415,13625,1,6297,23,60
0,0,0,6,0,0,0
0,0,0,6,0,0,0
0,0,0,0,0,0,0
3107,233,7789,23,2840,446,0
2421,1477,10024,34,4698,515,192
0,0,0,0,0,0,0
4162,7762,6709,18,3915,33,0
3650,822,15863,53,9465,263,0
0,0,0,2,0,0,0
3877,283,8917,6,3731,180,0
4509,985,14052,101,4757,325,10
0,0,0,0,0,0,0
4379,926,12845,61,5731,55,0
3293,780,13232,92,6252,466,0
0,0,0,0,0,0,0
0,10,288,0,84,0,0
4254,3017,16153,38,4185,0,72
2689,424,11602,12,1589,12,0
3068,727,43537,13,9836,455,144
2483,502,14598,24,3318,1074,1104
4827,727,11293,34,2554,79,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3595,1264,5230,3,2179,0,0
3505,286,9592,27,2319,72,0
4203,506,12779,20,7542,201,312
3325,1869,11543,20,4888,477,1200
3254,967,7626,9,6424,385,0
0,0,0,9,0,0,0
0,0,0,0,0,0,0
5027,1936,5930,404,3035,170,0
